,column,score,diff
22,f25,0.884356149294358,0.01828734090706363
23,f26,0.887843824532814,0.014799665668607687
1,f1,0.8941499032000874,0.00849358700133429
0,f0,0.8954133608372726,0.007230129364149018
3,f3,0.8957641094719659,0.0068793807294557086
5,f6,0.8963074889823139,0.006336001219107712
12,f13,0.8977388199641598,0.004904670237261821
9,f10,0.8993995978461904,0.0032438923552312593
30,f15_A,0.8996487592648958,0.0029947309365258024
18,f21,0.900857643576573,0.0017858466248485971
33,f20_A,0.9008793814005017,0.001764108800919928
8,f9,0.900971843407427,0.0016716467939946744
57,f20_Y,0.9012037914791207,0.001439698722300986
15,f17,0.9012861471263709,0.0013573430750507542
16,f18,0.9015029102401428,0.0011405799612788092
4,f4,0.9015794857410399,0.0010640044603817955
52,f20_T,0.901584477916694,0.0010590122847276007
32,f15_C,0.9017431904665183,0.0009002997349033537
17,f19,0.901759768353289,0.0008837218481326792
35,f20_C,0.9019004897527664,0.0007430004486552733
38,f20_F,0.9020354869263917,0.0006080032750299669
29,f5_M,0.9021094595821411,0.0005340306192805899
44,f20_L,0.9022212700824881,0.0004222201189335584
31,f15_B,0.9022899404579855,0.00035354974343615453
56,f20_X,0.9023249873612041,0.00031850284021750497
49,f20_Q,0.9023533898921416,0.00029010030928000585
37,f20_E,0.9023587785949864,0.0002847116064352839
20,f23,0.9023964080086251,0.00024708219279656607
14,f16,0.9023994277156909,0.00024406248573072276
48,f20_P,0.9024527453717628,0.00019074482965886208
28,f5_F,0.9025128344921638,0.0001306557092578542
6,f7,0.9025384308306764,0.00010505937074523075
11,f12,0.9026295710803,1.3919121121697131e-05
25,f28,0.9026434902014216,0.0
2,f2,0.9026522443017035,-8.754100281893606e-06
21,f24,0.9026722180880027,-2.8727886581036977e-05
55,f20_W,0.9026769662469243,-3.3476045502633944e-05
45,f20_M,0.9026828531505982,-3.9362949176502404e-05
51,f20_S,0.9027261864553611,-8.269625393941826e-05
39,f20_G,0.9027327139029582,-8.92237015365227e-05
41,f20_I,0.9027771757851094,-0.0001336855836877593
43,f20_K,0.9028339147591191,-0.00019042455769746613
42,f20_J,0.9028713408254808,-0.00022785062405916712
27,f30,0.9029473367866379,-0.00030384658521620533
53,f20_U,0.9029704573720511,-0.00032696717062941083
58,f20_Z,0.9030472870570444,-0.00040379685562275114
10,f11,0.9031816284357009,-0.000538138234279284
46,f20_N,0.9032311841671451,-0.0005876939657234459
13,f14,0.9032449660288547,-0.0006014758274330845
40,f20_H,0.9033358876801554,-0.0006923974787337306
36,f20_D,0.9034105822187386,-0.0007670920173169504
34,f20_B,0.903427165189191,-0.0007836749877693228
24,f27,0.9034376782434204,-0.0007941880419987113
47,f20_O,0.9034829941841357,-0.0008395039827140405
50,f20_R,0.9035034509202182,-0.0008599607187965708
7,f8,0.9035769202914565,-0.0009334300900348813
54,f20_V,0.903854946856155,-0.0012114566547333228
19,f22,0.9046741008601071,-0.0020306106586854833
26,f29,0.9047680930552929,-0.0021246028538712824
